dim,cohens_d,module
0,1.2151554,time
38,0.80921984,band
91,0.7744378,peaks
59,0.7459888,band
113,0.70413005,cepstral
28,0.6545075,band
49,0.6528492,band
34,0.6383996,band
30,0.59512615,band
117,0.55208987,cepstral
81,0.54497755,band
50,0.51542205,band
116,0.5138577,cepstral
64,0.4829725,band
41,0.4615712,band
53,0.4600492,band
51,0.45132956,band
93,0.44715384,peaks
52,0.44481438,band
106,0.44101498,cepstral
95,0.43743256,peaks
60,0.43493593,band
67,0.42401975,band
83,0.42374122,band
82,0.42314053,band
61,0.40763,band
33,0.40651175,band
115,0.4009032,cepstral
43,0.39716095,band
101,0.39364606,peaks
63,0.38089204,band
75,0.3677655,band
87,0.3651404,band
73,0.36227903,band
84,0.36213276,band
7,0.3535164,time
29,0.35304788,band
114,0.34849367,cepstral
27,0.3413085,band
104,0.33468607,cepstral
79,0.3321922,band
31,0.32946163,band
105,0.31897447,cepstral
80,0.31879827,band
88,0.31353223,band
23,0.3131732,freq
12,0.31036258,freq
16,0.3068328,freq
99,0.3065039,peaks
47,0.3032159,band
24,0.29952028,freq
14,0.29921028,freq
103,0.29636803,cepstral
70,0.2936596,band
77,0.29089987,band
78,0.2897301,band
74,0.28812638,band
35,0.28098089,band
89,0.28084567,band
15,0.2798436,freq
76,0.27883163,band
97,0.27291602,peaks
25,0.26663947,freq
6,0.26466432,time
19,0.2642966,freq
37,0.2603926,band
72,0.25941277,band
5,0.25905046,time
26,0.2585728,freq
68,0.25140607,band
69,0.25017643,band
96,0.24910614,peaks
2,0.24099997,time
55,0.2395179,band
118,0.23794623,cepstral
1,0.23785047,time
20,0.23518023,freq
107,0.23362394,cepstral
94,0.22533572,peaks
3,0.21841002,time
32,0.21768452,band
22,0.19850048,freq
100,0.19704035,peaks
4,0.19604146,time
17,0.1956083,freq
71,0.19376218,band
42,0.18854564,band
102,0.18233986,peaks
39,0.17366414,band
86,0.16711493,band
65,0.165892,band
11,0.16308664,time
9,0.16150977,time
21,0.16001876,freq
10,0.15647754,time
66,0.15132487,band
44,0.14983006,band
8,0.14523597,time
48,0.13643041,band
18,0.13392295,freq
54,0.13362853,band
90,0.13059177,band
56,0.11763358,band
119,0.09972145,cepstral
45,0.0927164,band
111,0.09019792,cepstral
108,0.08805562,cepstral
92,0.08209501,peaks
40,0.079672635,band
109,0.07799301,cepstral
13,0.076843195,freq
46,0.075920686,band
110,0.07157082,cepstral
62,0.068500206,band
112,0.06349738,cepstral
98,0.051155116,peaks
57,0.045627676,band
85,0.037744142,band
36,0.03397518,band
58,0.009710298,band
