warmup_ratio,seed,n_warmup,n_test,classifier,full_120,bot40
0.05,0,40,729,SVM-RBF,0.7887517146776406,0.9958847736625515
0.05,0,40,729,LinearSVM,0.8449931412894376,0.9602194787379973
0.05,0,40,729,LR,0.8449931412894376,0.9849108367626886
0.05,0,40,729,KNN,0.8587105624142661,0.9945130315500685
0.05,1,40,729,SVM-RBF,0.7914951989026063,0.9835390946502057
0.05,1,40,729,LinearSVM,0.850480109739369,0.9300411522633745
0.05,1,40,729,LR,0.850480109739369,0.9807956104252401
0.05,1,40,729,KNN,0.8641975308641975,0.9849108367626886
0.05,2,40,729,SVM-RBF,0.7860082304526749,0.9698216735253772
0.05,2,40,729,LinearSVM,0.8449931412894376,0.9670781893004116
0.05,2,40,729,LR,0.8449931412894376,1.0
0.05,2,40,729,KNN,0.8573388203017832,0.9972565157750343
0.1,0,77,692,SVM-RBF,0.7861271676300579,0.9913294797687862
0.1,0,77,692,LinearSVM,0.8439306358381503,1.0
0.1,0,77,692,LR,0.8439306358381503,1.0
0.1,0,77,692,KNN,0.8583815028901735,0.9956647398843931
0.1,1,77,692,SVM-RBF,0.7904624277456648,1.0
0.1,1,77,692,LinearSVM,0.8497109826589595,0.958092485549133
0.1,1,77,692,LR,0.8497109826589595,1.0
0.1,1,77,692,KNN,0.8641618497109826,0.9898843930635838
0.1,2,77,692,SVM-RBF,0.7933526011560693,0.9682080924855492
0.1,2,77,692,LinearSVM,0.8482658959537572,0.8569364161849711
0.1,2,77,692,LR,0.8482658959537572,0.9320809248554913
0.1,2,77,692,KNN,0.8598265895953757,0.9869942196531792
0.2,0,154,615,SVM-RBF,0.7902439024390244,0.975609756097561
0.2,0,154,615,LinearSVM,0.8439024390243902,0.9073170731707317
0.2,0,154,615,LR,0.8439024390243902,0.9902439024390244
0.2,0,154,615,KNN,0.8601626016260162,1.0
0.2,1,154,615,SVM-RBF,0.7934959349593496,0.9983739837398374
0.2,1,154,615,LinearSVM,0.8536585365853658,0.9691056910569106
0.2,1,154,615,LR,0.8536585365853658,1.0
0.2,1,154,615,KNN,0.865040650406504,0.9934959349593496
0.2,2,154,615,SVM-RBF,0.7886178861788617,0.9951219512195122
0.2,2,154,615,LinearSVM,0.8504065040650407,1.0
0.2,2,154,615,LR,0.8504065040650407,1.0
0.2,2,154,615,KNN,0.8634146341463415,0.991869918699187
0.5,0,384,385,SVM-RBF,0.8051948051948052,0.987012987012987
0.5,0,384,385,LinearSVM,0.8675324675324675,0.9246753246753247
0.5,0,384,385,LR,0.8675324675324675,0.9948051948051948
0.5,0,384,385,KNN,0.8779220779220779,0.9974025974025974
0.5,1,384,385,SVM-RBF,0.8103896103896104,0.9922077922077922
0.5,1,384,385,LinearSVM,0.8649350649350649,0.9012987012987013
0.5,1,384,385,LR,0.8649350649350649,0.9922077922077922
0.5,1,384,385,KNN,0.8727272727272727,0.9974025974025974
0.5,2,384,385,SVM-RBF,0.7610389610389611,0.9896103896103896
0.5,2,384,385,LinearSVM,0.8337662337662337,0.8441558441558441
0.5,2,384,385,LR,0.8337662337662337,0.9844155844155844
0.5,2,384,385,KNN,0.8493506493506493,0.9974025974025974
1.0,0,769,769,SVM-RBF,0.7893368010403121,0.9895968790637191
1.0,0,769,769,LinearSVM,0.846553966189857,0.893368010403121
1.0,0,769,769,LR,0.846553966189857,0.988296488946684
1.0,0,769,769,KNN,0.8595578673602081,0.9934980494148244
1.0,1,769,769,SVM-RBF,0.7893368010403121,0.9895968790637191
1.0,1,769,769,LinearSVM,0.846553966189857,0.893368010403121
1.0,1,769,769,LR,0.846553966189857,0.988296488946684
1.0,1,769,769,KNN,0.8595578673602081,0.9934980494148244
1.0,2,769,769,SVM-RBF,0.7893368010403121,0.9895968790637191
1.0,2,769,769,LinearSVM,0.846553966189857,0.893368010403121
1.0,2,769,769,LR,0.846553966189857,0.988296488946684
1.0,2,769,769,KNN,0.8595578673602081,0.9934980494148244
