holdout_diameter,major_class,train_diameters_same_major,classifier,acc
B007,B,B014;B021,SVM-RBF,1.0
B007,B,B014;B021,LinearSVM,1.0
B007,B,B014;B021,LR,1.0
B007,B,B014;B021,KNN,1.0
B014,B,B007;B021,SVM-RBF,0.8813559322033898
B014,B,B007;B021,LinearSVM,0.5550847457627118
B014,B,B007;B021,LR,0.923728813559322
B014,B,B007;B021,KNN,0.9533898305084746
B021,B,B007;B014,SVM-RBF,0.9830508474576272
B021,B,B007;B014,LinearSVM,0.9957627118644068
B021,B,B007;B014,LR,0.9745762711864406
B021,B,B007;B014,KNN,1.0
IR007,IR,IR014;IR021,SVM-RBF,0.2109704641350211
IR007,IR,IR014;IR021,LinearSVM,1.0
IR007,IR,IR014;IR021,LR,1.0
IR007,IR,IR014;IR021,KNN,0.8059071729957806
IR014,IR,IR007;IR021,SVM-RBF,0.0
IR014,IR,IR007;IR021,LinearSVM,0.0
IR014,IR,IR007;IR021,LR,0.0
IR014,IR,IR007;IR021,KNN,0.025423728813559324
IR021,IR,IR007;IR014,SVM-RBF,0.0
IR021,IR,IR007;IR014,LinearSVM,0.0
IR021,IR,IR007;IR014,LR,0.0
IR021,IR,IR007;IR014,KNN,0.0
OR007@6,OR,OR014@6;OR021@6,SVM-RBF,0.2330508474576271
OR007@6,OR,OR014@6;OR021@6,LinearSVM,0.7203389830508474
OR007@6,OR,OR014@6;OR021@6,LR,1.0
OR007@6,OR,OR014@6;OR021@6,KNN,0.9915254237288136
OR014@6,OR,OR007@6;OR021@6,SVM-RBF,0.0
OR014@6,OR,OR007@6;OR021@6,LinearSVM,0.6186440677966102
OR014@6,OR,OR007@6;OR021@6,LR,0.847457627118644
OR014@6,OR,OR007@6;OR021@6,KNN,0.0
OR021@6,OR,OR007@6;OR014@6,SVM-RBF,0.09322033898305085
OR021@6,OR,OR007@6;OR014@6,LinearSVM,0.03389830508474576
OR021@6,OR,OR007@6;OR014@6,LR,0.0
OR021@6,OR,OR007@6;OR014@6,KNN,0.6991525423728814
